cafe_id,name,picture,detail_url,latitude,longitude
99,kikcafe,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/6056667460fe285e2c012720d25fb386/5008258745f82c518c7bbd_user.jpg,https://cafesnap.me/c/13001,35.4456409,139.5981128
100,CAFE GIANG,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/99e08ebe57644060feac545668ad8837/10402895585f82bdf40cb56_user.jpg,https://cafesnap.me/c/9914,35.4438632,139.6472701
101,AOKATI roaster,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/28b5f05a61640d9308e2efaebb53d8c9/1781852485f828c96a60f9_user.jpg,https://cafesnap.me/c/11598,35.5693861,139.5456932
102,chano-ma 横浜,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/55234d6611f181e4e14c96f28188cf59/5923097115f7c2f0e3f6ae_user.jpg,https://cafesnap.me/c/341,35.4526178,139.6428859
103,Mother Leaf 横浜スカイビル店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/4331649745f7ab91785a70_image.jpg,https://cafesnap.me/c/7161,35.4647384,139.6244816
104,メレンゲ みなとみらい店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/1c442667a67975153045456a3d047471/2912179645f79bc1163df1_user.jpg,https://cafesnap.me/c/11643,35.4591472,139.6272474
105,Wraps Crepe,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/fb69d271aad785e9ac9389e57e4e71fd/2320983085f71d08200e9f_image.jpg,https://cafesnap.me/c/14362,35.4866639,139.6231224
106,萬來行カフェ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/845d4c7bb599f21d31d7558235eb587c/5158009335f6322e5e74d5_user.jpg,https://cafesnap.me/c/8493,35.4433633,139.6459176
107,Eat & Smile,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/7430701061be45b9b88f6af0b06aa838/9351762915f608ef91a467_user.jpg,https://cafesnap.me/c/13702,35.5640763,139.5539972
108,cafe sorale Tsumugi FOOD&TIME ISETAN YOKOHAMA,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/7430701061be45b9b88f6af0b06aa838/853527925f5f5a7cd45bf_user.jpg,https://cafesnap.me/c/14317,35.4644694,139.6190716
109,バウハウス,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/b06b62894a2a786791b68d81209d41a6/17953173525f5dbb8f82d43_image.jpg,https://cafesnap.me/c/12154,35.5344879,139.5899129
110,GRANNY SMITH APPLE PIE & COFFEE CIAL 横浜店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/79ca45f04d20376a90f95d1fc7bcffff/5448993355f5db54e33f50_image.jpg,https://cafesnap.me/c/14298,35.4671442,139.6230141
111,S/PARK CAFE,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/8035275486dbe1086630c23e95b9d732/20744891155f5d8aed94a20_user.jpg,https://cafesnap.me/c/12827,35.4614452,139.6261333
112,お茶の子 まめ,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/a038ab95f279494130f13e6f27c72b39/15011780105f5cccec1b15e_user.jpg,https://cafesnap.me/c/14281,35.4870494,139.6228369
113,1tas1 sewing&coffee,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/3be0f661d8f1cfa3c52dd8c7b4072d90/7379996355f5c6b2c3e7d0_user.jpg,https://cafesnap.me/c/14185,35.4731298,139.4833412
